X1,X2,X3,X4,X5,X6,X7,X8,X9,X10
1,Pradera,18.3,0.5,1.29,110,2.8,18G,714952.0,5159333.0
1,Pradera,10.7,0.6,0.91,110,2.5,18G,714896.0,5159627.0
1,Bosque,20.6,0.3,1.26,110,2.1,18G,715047.0,5159327.0
4,Bosque,23.7,0.4,0.99,110,2.5,18G,711466.0,5138560.0
4,Pradera,8.2,0.6,1.22,110,2.5,18G,711465.0,5138533.0
6,Pradera,16.8,0.4,1.20,110,2.6,18G,716266.0,5138685.0
6,Bosque,18.4,0.3,0.80,110,2.5,18G,715542.0,5138776.0
7,Bosque,3.1,0.4,1.28,100,2.0,18G,719306.0,5137297.0
8,Pradera,14.1,0.6,1.08,110,2.7,18G,719585.0,5134265.0
9,Pradera,16.7,0.5,1.70,110,2.7,18G,720393.0,5131661.0
9,Bosque,20.6,0.3,1.34,110,2.0,18G,720455.0,5131677.0
13,Pradera,7.5,0.6,1.22,110,2.8,18G,722007.0,5126367.0
14,Pradera,7.9,0.6,0.58,110,2.7,18G,722867.0,5119665.0
14,Bosque,14.1,0.3,1.32,110,2.2,18G,722867.0,5119665.0
16,Pradera,21.2,0.6,1.43,110,2.6,18G,726552.0,5112650.0
16,Bosque,25.2,0.2,0.95,110,2.0,18G,726097.0,5113753.0
17,SN,29.6,0.2,1.19,110,2.0,18G,727944.0,5110364.0
19,Bosque,8.6,0.5,1.27,55,2.4,18G,732578.0,5104936.0
19,Pradera,4.1,1.1,0.96,100,2.6,18G,732115.0,5105319.0
20,Bosque,1.7,0.4,0.82,11,2.0,19G,261079.0,5101139.0
22,Pradera,7.0,1.1,1.18,28,2.8,19G,272700.0,5101850.0
22,Matorral,9.2,0.8,1.25,28,2.7,19G,272713.0,5101867.0
23,Bosque,10.0,0.7,1.17,73,2.3,19G,273135.0,5099509.0
23,Pradera,9.0,0.7,1.30,72,2.8,19G,272665.0,5098343.0
24,Matorral,15.2,0.8,1.17,60,2.6,19G,270580.0,5096784.0
25,Pradera,10.2,0.5,1.30,60,2.9,19G,272034.0,5094590.0
25,Bosque,10.1,0.5,1.19,17,2.5,19G,272013.0,5094636.0
27,Pradera,12.9,0.5,1.13,110,2.6,18G,716024.0,5126252.0
28,Pradera,16.4,0.7,1.04,110,2.5,18G,713975.0,5126899.0
28,Pradera,25.7,0.6,0.97,110,2.8,18G,713249.0,5127237.0
30,Pradera,19.3,0.5,1.06,100,2.4,18G,695333.0,5122859.0
30,Bosque,20.9,0.2,1.26,110,2.3,18G,695340.0,5122897.0
30,SN,23.3,0.1,1.57,110,2.0,18G,684278.0,5125952.0
31,Pradera,16.5,0.5,1.18,110,2.5,18G,701389.0,5126865.0
32,Bosque,23.7,0.3,1.15,110,2.0,18G,671463.0,5137033.0
33,Mis1,9.0,0.3,1.12,110,2.0,18G,664216.0,5148193.0
33,Bosque,0.8,1.2,1.28,110,2.0,18G,664216.0,5148193.0
35,Pradera,13.6,0.6,1.17,110,2.6,18G,702609.0,5107989.0
39,Bosque,26.7,0.2,1.21,110,2.0,18G,694666.0,5084956.0
39,Pradera,5.1,0.8,1.42,27,2.8,18G,694613.0,5084942.0
42,Bosque,9.9,0.8,1.26,55,2.3,18G,698614.0,5065079.0
43,Bosque,9.5,0.1,1.14,50,2.0,18G,704493.0,5058688.0
44,SN,19.6,0.3,1.20,110,2.0,18G,698552.0,5049781.0
46,Bosque,20.7,0.4,1.46,110,2.0,18G,686708.0,5043245.0
49,Bosque,7.8,0.7,1.28,110,2.3,18G,686230.0,5040245.0
49,Pradera,16.0,0.5,1.09,110,2.4,18G,688246.0,5040506.0
51,SN,2.0,1.2,1.39,22,2.6,18G,716387.0,5050809.0
51,Bosque,6.5,0.8,1.24,16,2.7,18G,715783.0,5050668.0
51,Pradera,6.7,0.8,1.02,100,2.6,18G,716694.0,5050731.0
52,Pradera,10.7,0.7,1.09,110,2.7,18G,722106.0,5039304.0
52,Bosque,11.5,0.3,1.16,110,2.4,18G,722091.0,5039320.0
53,Pradera,10.9,0.4,1.27,110,2.8,18G,724064.0,5043754.0
55,Pradera,6.3,0.9,1.36,86,2.8,18G,734805.0,5047418.0
55,Bosque,17.5,0.6,0.66,110,2.5,19G,263076.0,5046778.0
56,Bosque,7.0,0.6,1.29,70,2.7,19G,272732.0,5047520.0
57,Bosque,5.5,0.5,1.44,110,2.8,19G,281772.0,5052182.0
58,Pradera,5.8,0.8,1.24,110,3.0,19G,287791.0,5053454.0
58,Pradera,2.0,1.2,1.13,44,2.6,19G,291292.0,5056429.0
59,Matorral,12.1,1.0,1.14,32,2.0,19G,291292.0,5056429.0
60,Pradera,6.2,0.9,1.21,110,3.0,19G,299231.0,5059616.0
60,Plantación,8.1,0.8,1.19,110,2.9,19G,299553.0,5069152.0
61,Pradera,11.2,0.8,1.17,110,2.8,18G,720496.0,5028290.0
61,Bosque,19.3,0.4,1.42,110,2.0,18G,720857.0,5026268.0
62,Pradera,10.7,0.7,1.36,110,2.9,18G,720496.0,5028290.0
62,Bosque,22.7,0.5,1.14,110,2.7,18G,724027.0,5015557.0
63,Bosque,6.6,0.7,1.13,110,2.8,18G,716890.0,5015312.0
63,Pradera,8.5,0.8,1.27,110,2.8,18G,716891.0,5015275.0
64,Plantación,11.4,0.7,1.02,110,2.5,18G,714483.0,5016899.0
65,Pradera,9.3,0.8,1.23,110,2.9,18G,727977.0,5012810.0
67,Matorral,9.3,0.4,1.40,74,2.7,19G,265839.0,5010575.0
67,Mis1,9.3,0.6,1.27,110,2.7,19G,265585.0,5010625.0
68,SN,26.9,0.1,1.25,110,2.5,19G,273967.0,5006668.0
68,Pradera,8.6,0.7,1.34,110,2.9,19G,273941.0,5006601.0
70,Bosque,15.3,0.3,0.83,110,2.5,19G,276553.0,5004674.0
70,Pradera,6.5,0.6,1.28,110,2.8,19G,276646.0,5005465.0
71,Pradera,6.3,0.6,1.22,110,2.7,19G,274155.0,4999110.0
71,Plantación,5.2,0.8,1.49,78,2.7,19G,274198.0,4999110.0
72,Cultivo,7.7,0.8,1.21,110,2.8,19G,274384.0,4996220.0
73,Pradera,13.1,0.5,1.29,110,2.8,19G,269959.0,4995470.0
73,Bosque,5.2,0.7,1.11,110,2.4,19G,269454.0,4995185.0
74,Bosque,9.0,0.7,1.38,110,2.8,19G,264535.0,4995037.0
75,Cultivo,11.0,0.6,0.61,110,2.5,18G,729966.0,4995985.0
75,Pradera,7.9,0.7,1.26,110,2.6,18G,729868.0,4996108.0
77,Pradera,9.3,0.6,1.06,110,2.8,18G,724603.0,4999466.0
79,Bosque,4.5,0.7,1.49,110,2.6,18G,723175.0,5006250.0
79,Pradera,12.5,0.6,1.32,110,2.8,18G,723259.0,5005975.0
80,Pradera,12.0,0.7,1.14,110,2.8,18G,722269.0,501982.0
80,Bosque,13.1,1.0,1.18,110,2.3,18G,722154.0,5011052.0
81,Pradera,10.4,0.7,1.36,110,2.7,18G,720399.0,5014058.0
81,SN,16.3,0.4,1.21,110,2.3,18G,720427.0,5014082.0
82,Pradera,7.7,0.8,1.18,110,2.9,18G,727820.0,5008305.0
82,SN,14.9,0.3,1.20,110,2.0,18G,727867.0,5008341.0
83,Mis1,0.3,1.1,0.10,90,2.5,18G,727765.0,5004262.0
85,Bosque,10.6,,0.82,68,2.5,18 G,715590.0,4985723.0
85,Pradera,9.5,,1.07,110,2.6,18 G,715895.0,4985550.0
87,Bosque,11.4,0.6,0.83,110,2.4,18 G,727976.4,4979960.7
87,Pradera,5.2,0.9,1.27,110,2.5,18 G,728054.0,4979893.0
88,Pradera,8.7,0.8,0.71,91,2.5,18 G,732404.4,4976347.2
88,SN,10.7,,0.91,110,2.5,18 G,731661.0,4977526.0
89,Pradera,6.7,0.8,0.96,82,2.7,19 G,265916.1,4972036.6
89,Bosque,10.7,0.5,0.90,80,2.6,19 G,265688.4,4972112.9
91,Pradera,6.0,,1.06,88,2.8,18 G,732660.1,4964807.9
91,Bosque,7.5,,0.97,81,2.5,18 G,732784.4,4964227.9
93,Pradera,5.4,0.8,0.94,110,2.8,18 G,732857.0,1959526.0
94,Pradera,5.2,0.7,1.02,110,2.5,18 G,725898.0,4956363.0
96,Pradera,2.1,1.1,1.12,110,2.8,18 G ,719209.0,4958172.0
96,Bosque,7.9,0.6,0.96,74,2.4,18 G ,719221.7,4958302.8
97,Pradera,8.2,0.7,0.53,,2.6,18 G,704588.0,4963040.0
97,Bosque,8.5,0.6,0.47,,2.3,18 G,705232.0,4962785.0
99,SN,11.0,0.7,1.38,,2.2,18 G,698042.5,4968913.0
99,Pradera,10.7,0.7,0.85,,2.4,18 G,698128.1,4969092.1
100,Pradera,4.8,1.0,0.93,110,2.5,18 G,701004.0,4975511.0
100,Matorral,7.9,0.5,0.78,,2.4,18 G,700670.0,4975287.0
101,SN,5.8,0.5,1.31,110,2.0,18G,686716.0,4972044.0
101,Pradera,5.3,0.9,1.27,110,2.7,18G,686725.0,4971997.0
102,Pradera,10.6,0.7,1.51,110,2.4,18G,686516.0,4976569.0
102,Bosque,8.4,0.4,1.11,27,2.2,18G,686398.0,4976994.0
102,SN,12.7,0.2,1.24,110,2.0,18G,686464.0,4976868.0
104,Pradera,9.3,0.6,0.98,110,2.7,18G,683479.0,4974776.0
105,Pradera,9.6,0.5,1.20,110,2.4,18G,680446.0,4973192.0
106,Bosque,9.5,0.6,1.13,110,2.6,18 G,679968.0,4978647.0
106,Pradera,8.7,0.6,1.28,110,2.6,18 G,680044.0,4978638.0
107,SN,7.8,0.3,1.18,110,2.0,18 G,675149.0,4970659.0
107,Pradera,9.7,0.6,1.72,110,2.3,18 G,674237.0,4970471.0
108,Matorral,14.3,0.3,1.02,110,2.5,18 G,679356.0,4966511.0
108,Pradera,10.1,0.7,1.17,110,2.6,18G,679342.0,4966711.0
110,Matorral,10.3,0.9,1.09,45,2.6,18 G,709050.0,1980635.0
110,Bosque,5.5,0.6,0.91,59,2.3,18 G,709733.0,4981074.0
111,Pradera,8.7,0.7,1.25,110,2.6,18 G,695491.0,4969139.0
112,Pradera,4.6,1.0,1.23,110,2.6,18 G,687838.0,4963633.0
114,Pradera,13.9,0.6,1.31,81,2.6,18 G,685120.0,4960365.0
114,Matorral,14.7,0.6,0.97,60,2.7,18 G,685107.0,4960345.0
115,Pradera,9.3,0.7,1.35,100,2.6,18 G,685145.0,4958583.0
