ID,dC/dB,Uso,X,Y,Altura,NDVI
1,0.854,18G,714952,5159333,106,0.914
2,0.426,18G,714896,5159627,122,0.629
3,1.605,18G,715047,5159327,112,0.9
4,1.515,18G,711466,5138560,71,0.893
5,0.324,18G,711465,5138533,70,0.877
6,0.864,18G,716266,5138685,198,0.791
7,1.289,18G,715542,5138776,204,0.886
8,0.167,18G,719306,5137297,189,0.886
9,0.504,18G,719585,5134265,152,0.673
10,0.743,18G,720393,5131661,164,0.822
11,1.416,18G,720455,5131677,167,0.89
12,0.269,18G,722007,5126367,101,0.9
13,0.296,18G,722867,5119665,209,0.86
14,1.127,18G,722867,5119665,209,0.86
15,0.774,18G,726552,5112650,200,0.778
16,2.318,18G,726097,5113753,209,0.781
17,3.312,18G,727944,5110364,213,0.674
18,0.378,18G,732578,5104936,243,0.841
19,0.083,18G,732115,5105319,300,0.525
28,0.594,18G,716024,5126252,78,0.848
29,0.550,18G,713975,5126899,75,0.615
30,0.927,18G,713249,5127237,68,0.651
31,0.956,18G,695333,5122859,33,0.779
32,2.683,18G,695340,5122897,42,0.779
33,3.538,18G,684278,5125952,19,0.738
34,0.683,18G,701389,5126865,34,0.789
35,1.578,18G,671463,5137033,27,0.76
36,0.636,18G,664216,5148193,17,0.87
37,0.016,18G,664216,5148193,17,0.87
38,0.549,18G,702609,5107989,81,0.757
39,2.447,18G,694666,5084956,20,0.844
40,0.145,18G,694613,5084942,12,0.844
41,0.293,18G,698614,5065079,31,0.825
42,2.022,18G,704493,5058688,525,0.621
43,1.642,18G,698552,5049781,59,0.629
44,1.046,18G,686708,5043245,50,0.773
45,0.268,18G,686230,5040245,17,0.808
46,0.744,18G,688246,5040506,15,0.682
47,0.036,18G,716387,5050809,175,0.644
48,0.190,18G,715783,5050668,181,0.807
49,0.199,18G,716694,5050731,175,0.716
50,0.359,18G,722106,5039304,301,0.668
51,0.764,18G,722091,5039320,300,0.693
52,0.561,18G,724064,5043754,249,0.781
53,0.149,18G,734805,5047418,298,0.625
62,0.310,18G,720496,5028290,338,0.618
63,1.212,18G,720857,5026268,382,0.867
64,0.333,18G,720496,5028290,338,0.618
65,0.945,18G,724027,5015557,279,0.774
66,0.221,18G,716890,5015312,154,0.841
67,0.247,18G,716891,5015275,156,0.807
68,0.396,18G,714483,5016899,94,0.686
69,0.249,18G,727977,5012810,293,0.757
85,0.139,18G,723175,5006250,201,0.873
86,0.481,18G,723259,5005975,193,0.787
88,0.292,18G,722154,5011052,219,0.747
89,0.334,18G,720399,5014058,228,0.806
90,0.960,18G,720427,5014082,227,0.765
91,0.205,18G,727820,5008305,277,0.83
92,1.312,18G,727867,5008341,275,0.761
93,0.005,18G,727765,5004262,280,0.66
