Indice,AlturaN,NDVI,C1,C2,C4,C6,C7
0.854,-0.529394515,0.9140,0,1,0,0,0
0.426,-0.38610859,0.6290,0,1,0,0,0
1.605,-0.475662293,0.9000,1,0,0,0,0
1.515,-0.842832477,0.8930,1,0,0,0,0
0.324,-0.851787847,0.8770,0,1,0,0,0
0.864,0.294499555,0.7910,0,1,0,0,0
1.289,0.348231777,0.8860,1,0,0,0,0
0.167,0.213901223,0.8860,1,0,0,0,0
0.504,-0.11744748,0.6730,0,1,0,0,0
0.743,-0.009983036,0.8220,0,1,0,0,0
1.416,0.016883075,0.8900,1,0,0,0,0
0.269,-0.574171367,0.9000,0,1,0,0,0
0.296,0.393008629,0.8600,0,1,0,0,0
1.127,0.393008629,0.8600,1,0,0,0,0
0.774,0.312410296,0.7780,0,1,0,0,0
2.318,0.393008629,0.7810,1,0,0,0,0
3.312,0.42883011,0.6740,0,0,1,0,0
0.378,0.69749122,0.8410,1,0,0,0,0
0.083,1.207947329,0.5250,0,1,0,0,0
0.594,-0.780144884,0.8480,0,1,0,0,0
0.550,-0.807010995,0.6150,0,1,0,0,0
0.927,-0.869698588,0.6510,0,1,0,0,0
0.956,-1.183136549,0.7790,0,1,0,0,0
2.683,-1.102538216,0.7790,1,0,0,0,0
3.538,-1.308511734,0.7380,0,0,1,0,0
0.683,-1.174181179,0.7890,0,1,0,0,0
1.578,-1.236868771,0.7600,1,0,0,0,0
0.636,-1.326422474,0.8700,0,0,0,1,0
0.016,-1.326422474,0.8700,1,0,0,0,0
0.549,-0.753278773,0.7570,0,1,0,0,0
2.447,-1.299556364,0.8440,1,0,0,0,0
0.145,-1.371199326,0.8440,0,1,0,0,0
0.293,-1.20104729,0.8250,1,0,0,0,0
2.022,3.222905654,0.6210,1,0,0,0,0
1.642,-0.950296921,0.6290,0,0,1,0,0
1.046,-1.030895254,0.7730,1,0,0,0,0
0.268,-1.326422474,0.8080,1,0,0,0,0
0.744,-1.344333215,0.6820,0,1,0,0,0
0.036,0.088526038,0.6440,0,0,1,0,0
0.190,0.14225826,0.8070,1,0,0,0,0
0.199,0.088526038,0.7160,0,1,0,0,0
0.359,1.2169027,0.6680,0,1,0,0,0
0.764,1.207947329,0.6930,1,0,0,0,0
0.561,0.751223442,0.7810,0,1,0,0,0
0.149,1.190036589,0.6250,0,1,0,0,0
0.310,1.548251402,0.6180,0,1,0,0,0
1.212,1.942287696,0.8670,1,0,0,0,0
0.333,1.548251402,0.6180,0,1,0,0,0
0.945,1.019884552,0.7740,1,0,0,0,0
0.221,-0.099536739,0.8410,1,0,0,0,0
0.247,-0.081625998,0.8070,0,1,0,0,0
0.249,1.145259737,0.7570,0,1,0,0,0
0.139,0.321365666,0.8730,1,0,0,0,0
0.481,0.249722704,0.7870,0,1,0,0,0
0.292,0.482562332,0.7470,1,0,0,0,0
0.334,0.563160665,0.8060,0,1,0,0,0
0.960,0.554205295,0.7650,0,0,1,0,0
0.205,1.001973812,0.8300,0,1,0,0,0
1.312,0.984063071,0.7610,0,0,1,0,0
0.005,1.028839923,0.6600,0,0,0,1,0
